 # Source Time function
 # source type CMT
 # scaling scalar moment (M0) =    2.26056663E+25
 # format: #time(s)   #stf   #scalar_moment
   97.103178670874044        1.00000000       2.26056663E+25
   97.187707105708384        1.00000000       2.26056663E+25
   97.272235540542724        1.00000000       2.26056663E+25
   97.356763975377064        1.00000000       2.26056663E+25
   97.441292410211389        1.00000000       2.26056663E+25
   97.525820845045729        1.00000000       2.26056663E+25
   97.610349279880069        1.00000000       2.26056663E+25
   97.694877714714409        1.00000000       2.26056663E+25
   97.779406149548748        1.00000000       2.26056663E+25
   97.863934584383088        1.00000000       2.26056663E+25
   97.948463019217428        1.00000000       2.26056663E+25
   98.032991454051754        1.00000000       2.26056663E+25
   98.117519888886093        1.00000000       2.26056663E+25
   98.202048323720433        1.00000000       2.26056663E+25
   98.286576758554773        1.00000000       2.26056663E+25
   98.371105193389113        1.00000000       2.26056663E+25
   98.455633628223453        1.00000000       2.26056663E+25
   98.540162063057792        1.00000000       2.26056663E+25
   98.624690497892118        1.00000000       2.26056663E+25
   98.709218932726458        1.00000000       2.26056663E+25
   98.793747367560798        1.00000000       2.26056663E+25
   98.878275802395137        1.00000000       2.26056663E+25
   98.962804237229477        1.00000000       2.26056663E+25
   99.047332672063817        1.00000000       2.26056663E+25
   99.131861106898157        1.00000000       2.26056663E+25
   99.216389541732482        1.00000000       2.26056663E+25
   99.300917976566822        1.00000000       2.26056663E+25
   99.385446411401162        1.00000000       2.26056663E+25
   99.469974846235502        1.00000000       2.26056663E+25
   99.554503281069842        1.00000000       2.26056663E+25
   99.639031715904181        1.00000000       2.26056663E+25
   99.723560150738521        1.00000000       2.26056663E+25
   99.808088585572847        1.00000000       2.26056663E+25
   99.892617020407187        1.00000000       2.26056663E+25
   99.977145455241526        1.00000000       2.26056663E+25
   100.06167389007587        1.00000000       2.26056663E+25
   100.14620232491021        1.00000000       2.26056663E+25
   100.23073075974455        1.00000000       2.26056663E+25
   100.31525919457889        1.00000000       2.26056663E+25
   100.39978762941321        1.00000000       2.26056663E+25
   100.48431606424755        1.00000000       2.26056663E+25
   100.56884449908189        1.00000000       2.26056663E+25
   100.65337293391623        1.00000000       2.26056663E+25
   100.73790136875057        1.00000000       2.26056663E+25
   100.82242980358491        1.00000000       2.26056663E+25
   100.90695823841925        1.00000000       2.26056663E+25
   100.99148667325358        1.00000000       2.26056663E+25
   101.07601510808792        1.00000000       2.26056663E+25
   101.16054354292226        1.00000000       2.26056663E+25
   101.24507197775660        1.00000000       2.26056663E+25
   101.32960041259093        1.00000000       2.26056663E+25
   101.41412884742527        1.00000000       2.26056663E+25
   101.49865728225961        1.00000000       2.26056663E+25
   101.58318571709395        1.00000000       2.26056663E+25
   101.66771415192828        1.00000000       2.26056663E+25
   101.75224258676262        1.00000000       2.26056663E+25
   101.83677102159696        1.00000000       2.26056663E+25
   101.92129945643130        1.00000000       2.26056663E+25
   102.00582789126564        1.00000000       2.26056663E+25
   102.09035632609998        1.00000000       2.26056663E+25
   102.17488476093432        1.00000000       2.26056663E+25
   102.25941319576864        1.00000000       2.26056663E+25
   102.34394163060298        1.00000000       2.26056663E+25
   102.42847006543732        1.00000000       2.26056663E+25
   102.51299850027166        1.00000000       2.26056663E+25
   102.59752693510600        1.00000000       2.26056663E+25
   102.68205536994034        1.00000000       2.26056663E+25
   102.76658380477468        1.00000000       2.26056663E+25
   102.85111223960901        1.00000000       2.26056663E+25
   102.93564067444335        1.00000000       2.26056663E+25
   103.02016910927769        1.00000000       2.26056663E+25
   103.10469754411203        1.00000000       2.26056663E+25
   103.18922597894637        1.00000000       2.26056663E+25
   103.27375441378071        1.00000000       2.26056663E+25
   103.35828284861505        1.00000000       2.26056663E+25
   103.44281128344937        1.00000000       2.26056663E+25
   103.52733971828371        1.00000000       2.26056663E+25
   103.61186815311805        1.00000000       2.26056663E+25
   103.69639658795239        1.00000000       2.26056663E+25
   103.78092502278673        1.00000000       2.26056663E+25
   103.86545345762107        1.00000000       2.26056663E+25
   103.94998189245541        1.00000000       2.26056663E+25
   104.03451032728974        1.00000000       2.26056663E+25
   104.11903876212408        1.00000000       2.26056663E+25
   104.20356719695842        1.00000000       2.26056663E+25
   104.28809563179276        1.00000000       2.26056663E+25
   104.37262406662710        1.00000000       2.26056663E+25
   104.45715250146144        1.00000000       2.26056663E+25
   104.54168093629578        1.00000000       2.26056663E+25
   104.62620937113010        1.00000000       2.26056663E+25
   104.71073780596444        1.00000000       2.26056663E+25
   104.79526624079878        1.00000000       2.26056663E+25
   104.87979467563312        1.00000000       2.26056663E+25
   104.96432311046746        1.00000000       2.26056663E+25
   105.04885154530180        1.00000000       2.26056663E+25
   105.13337998013614        1.00000000       2.26056663E+25
   105.21790841497047        1.00000000       2.26056663E+25
   105.30243684980481        1.00000000       2.26056663E+25
   105.38696528463915        1.00000000       2.26056663E+25
   105.47149371947349        1.00000000       2.26056663E+25
   105.55602215430783        1.00000000       2.26056663E+25
   105.64055058914217        1.00000000       2.26056663E+25
   105.72507902397651        1.00000000       2.26056663E+25
   105.80960745881083        1.00000000       2.26056663E+25
   105.89413589364517        1.00000000       2.26056663E+25
   105.97866432847951        1.00000000       2.26056663E+25
   106.06319276331385        1.00000000       2.26056663E+25
   106.14772119814819        1.00000000       2.26056663E+25
   106.23224963298253        1.00000000       2.26056663E+25
   106.31677806781687        1.00000000       2.26056663E+25
   106.40130650265121        1.00000000       2.26056663E+25
   106.48583493748554        1.00000000       2.26056663E+25
   106.57036337231987        1.00000000       2.26056663E+25
   106.65489180715421        1.00000000       2.26056663E+25
   106.73942024198855        1.00000000       2.26056663E+25
   106.82394867682289        1.00000000       2.26056663E+25
   106.90847711165723        1.00000000       2.26056663E+25
   106.99300554649157        1.00000000       2.26056663E+25
   107.07753398132590        1.00000000       2.26056663E+25
   107.16206241616024        1.00000000       2.26056663E+25
   107.24659085099458        1.00000000       2.26056663E+25
   107.33111928582892        1.00000000       2.26056663E+25
   107.41564772066326        1.00000000       2.26056663E+25
   107.50017615549760        1.00000000       2.26056663E+25
   107.58470459033194        1.00000000       2.26056663E+25
   107.66923302516626        1.00000000       2.26056663E+25
   107.75376146000060        1.00000000       2.26056663E+25
   107.83828989483494        1.00000000       2.26056663E+25
   107.92281832966928        1.00000000       2.26056663E+25
   108.00734676450362        1.00000000       2.26056663E+25
   108.09187519933796        1.00000000       2.26056663E+25
   108.17640363417230        1.00000000       2.26056663E+25
   108.26093206900663        1.00000000       2.26056663E+25
   108.34546050384097        1.00000000       2.26056663E+25
   108.42998893867531        1.00000000       2.26056663E+25
   108.51451737350965        1.00000000       2.26056663E+25
   108.59904580834399        1.00000000       2.26056663E+25
   108.68357424317833        1.00000000       2.26056663E+25
   108.76810267801267        1.00000000       2.26056663E+25
   108.85263111284699        1.00000000       2.26056663E+25
   108.93715954768133        1.00000000       2.26056663E+25
   109.02168798251567        1.00000000       2.26056663E+25
   109.10621641735001        1.00000000       2.26056663E+25
   109.19074485218435        1.00000000       2.26056663E+25
   109.27527328701869        1.00000000       2.26056663E+25
